EventId,SummaryId,SampleId,Loss,ImpactedExposure
1,1,-4,10692.00,31505990.00
1,1,-1,29468026.00,31505990.00
1,1,1,29032798.00,31505990.00
1,1,2,29784966.00,31505990.00
1,1,3,29296684.00,31505990.00
1,1,4,28279614.00,31505990.00
1,1,5,29635322.00,31505990.00
1,1,6,29955778.00,31505990.00
1,1,7,30820184.00,31505990.00
1,1,8,29205808.00,31505990.00
1,1,9,29689780.00,31505990.00
1,1,10,28797460.00,31505990.00
2,1,-4,10816.00,31500864.00
2,1,-1,31498964.00,31500864.00
2,1,1,31499950.00,31500864.00
2,1,2,31500116.00,31500864.00
2,1,3,31499948.00,31500864.00
2,1,4,31499966.00,31500864.00
2,1,5,31500108.00,31500864.00
2,1,6,31500028.00,31500864.00
2,1,7,31500052.00,31500864.00
2,1,8,31500042.00,31500864.00
2,1,9,31499950.00,31500864.00
2,1,10,31500062.00,31500864.00
3,1,-4,10816.00,31500864.00
3,1,-1,31502628.00,31500864.00
3,1,1,31501244.00,31500864.00
3,1,2,31501636.00,31500864.00
3,1,3,31502234.00,31500864.00
3,1,4,31502828.00,31500864.00
3,1,5,31501962.00,31500864.00
3,1,6,31503046.00,31500864.00
3,1,7,31501180.00,31500864.00
3,1,8,31500830.00,31500864.00
3,1,9,31501184.00,31500864.00
3,1,10,31502304.00,31500864.00
5,1,-4,10816.00,31500864.00
5,1,-1,31498878.00,31500864.00
5,1,1,31499988.00,31500864.00
5,1,2,31500062.00,31500864.00
5,1,3,31499866.00,31500864.00
5,1,4,31499974.00,31500864.00
5,1,5,31500030.00,31500864.00
5,1,6,31500008.00,31500864.00
5,1,7,31500194.00,31500864.00
5,1,8,31499884.00,31500864.00
5,1,9,31499942.00,31500864.00
5,1,10,31499888.00,31500864.00
7,1,-4,3180.00,31499264.00
7,1,-1,7472061.00,31499264.00
7,1,1,7423135.00,31499264.00
7,1,2,7745773.00,31499264.00
7,1,3,7670810.00,31499264.00
7,1,4,7443033.50,31499264.00
7,1,5,7082656.00,31499264.00
7,1,6,7658446.00,31499264.00
7,1,7,7462654.50,31499264.00
7,1,8,6995240.50,31499264.00
7,1,9,7396750.50,31499264.00
7,1,10,7860362.50,31499264.00
11,1,-4,1810.00,31499734.00
11,1,-1,4137717.25,31499734.00
11,1,1,4285175.50,31499734.00
11,1,2,3853107.25,31499734.00
11,1,3,4047291.50,31499734.00
11,1,4,4171259.50,31499734.00
11,1,5,4342683.00,31499734.00
11,1,6,4204584.50,31499734.00
11,1,7,3938118.25,31499734.00
11,1,8,4206907.50,31499734.00
11,1,9,4249572.00,31499734.00
11,1,10,4095528.25,31499734.00
12,1,-4,10816.00,31500864.00
12,1,-1,30135418.00,31500864.00
12,1,1,29536654.00,31500864.00
12,1,2,29871298.00,31500864.00
12,1,3,29212808.00,31500864.00
12,1,4,30472614.00,31500864.00
12,1,5,30339214.00,31500864.00
12,1,6,30497228.00,31500864.00
12,1,7,30454368.00,31500864.00
12,1,8,31159176.00,31500864.00
12,1,9,29797578.00,31500864.00
12,1,10,30630766.00,31500864.00
16,1,-4,1523.00,31499574.00
16,1,-1,3585135.75,31499574.00
16,1,1,3817866.00,31499574.00
16,1,2,3540803.75,31499574.00
16,1,3,3424457.25,31499574.00
16,1,4,3498829.50,31499574.00
16,1,5,3419048.25,31499574.00
16,1,6,3662503.50,31499574.00
16,1,7,3673584.50,31499574.00
16,1,8,3846097.75,31499574.00
16,1,9,3475448.25,31499574.00
16,1,10,3755406.00,31499574.00
17,1,-4,10816.00,31500864.00
17,1,-1,30135418.00,31500864.00
17,1,1,30175478.00,31500864.00
17,1,2,29421094.00,31500864.00
17,1,3,30530432.00,31500864.00
17,1,4,30527828.00,31500864.00
17,1,5,31384188.00,31500864.00
17,1,6,29793588.00,31500864.00
17,1,7,29717498.00,31500864.00
17,1,8,30234538.00,31500864.00
17,1,9,29654976.00,31500864.00
17,1,10,30601720.00,31500864.00
18,1,-4,1060.00,31499780.00
18,1,-1,2430336.50,31499780.00
18,1,1,2196929.50,31499780.00
18,1,2,2248686.50,31499780.00
18,1,3,2395115.25,31499780.00
18,1,4,2413317.75,31499780.00
18,1,5,2466557.50,31499780.00
18,1,6,2471344.25,31499780.00
18,1,7,2579187.25,31499780.00
18,1,8,2611327.50,31499780.00
18,1,9,2497871.50,31499780.00
18,1,10,2438511.75,31499780.00
20,1,-4,124.00,12909386.00
20,1,-1,521236.12,12909386.00
20,1,1,373676.22,12909386.00
20,1,2,650376.50,12909386.00
20,1,3,542652.38,12909386.00
20,1,4,555183.31,12909386.00
20,1,5,786181.56,12909386.00
20,1,6,598164.12,12909386.00
20,1,7,482261.56,12909386.00
20,1,8,368231.38,12909386.00
20,1,9,523031.94,12909386.00
20,1,10,385695.59,12909386.00
27,1,-4,10816.00,31500864.00
27,1,-1,31503584.00,31500864.00
27,1,1,31499956.00,31500864.00
27,1,2,31500040.00,31500864.00
27,1,3,31500038.00,31500864.00
27,1,4,31500108.00,31500864.00
27,1,5,31500044.00,31500864.00
27,1,6,31499924.00,31500864.00
27,1,7,31500118.00,31500864.00
27,1,8,31499942.00,31500864.00
27,1,9,31500114.00,31500864.00
27,1,10,31499894.00,31500864.00
32,1,-4,10816.00,31500864.00
32,1,-1,30135418.00,31500864.00
32,1,1,29686998.00,31500864.00
32,1,2,30346010.00,31500864.00
32,1,3,30944676.00,31500864.00
32,1,4,30305228.00,31500864.00
32,1,5,29623664.00,31500864.00
32,1,6,30162674.00,31500864.00
32,1,7,29408490.00,31500864.00
32,1,8,31500132.00,31500864.00
32,1,9,30807654.00,31500864.00
32,1,10,28692102.00,31500864.00
33,1,-4,9433.00,31503174.00
33,1,-1,25577668.00,31503174.00
33,1,1,25109662.00,31503174.00
33,1,2,25353896.00,31503174.00
33,1,3,25161744.00,31503174.00
33,1,4,25410674.00,31503174.00
33,1,5,25097396.00,31503174.00
33,1,6,26436048.00,31503174.00
33,1,7,25709908.00,31503174.00
33,1,8,26253248.00,31503174.00
33,1,9,25476082.00,31503174.00
33,1,10,25846708.00,31503174.00
34,1,-4,10816.00,31500864.00
34,1,-1,30135418.00,31500864.00
34,1,1,29849502.00,31500864.00
34,1,2,29891578.00,31500864.00
34,1,3,29384028.00,31500864.00
34,1,4,30297326.00,31500864.00
34,1,5,30275452.00,31500864.00
34,1,6,31065488.00,31500864.00
34,1,7,30312060.00,31500864.00
34,1,8,30107430.00,31500864.00
34,1,9,29551216.00,31500864.00
34,1,10,30776448.00,31500864.00
36,1,-4,10814.00,31501482.00
36,1,-1,30121084.00,31501482.00
36,1,1,30725738.00,31501482.00
36,1,2,29152006.00,31501482.00
36,1,3,30776326.00,31501482.00
36,1,4,30780368.00,31501482.00
36,1,5,29830212.00,31501482.00
36,1,6,29795882.00,31501482.00
36,1,7,29843150.00,31501482.00
36,1,8,30744746.00,31501482.00
36,1,9,29663624.00,31501482.00
36,1,10,30190228.00,31501482.00
37,1,-4,10816.00,31500864.00
37,1,-1,30135418.00,31500864.00
37,1,1,29444676.00,31500864.00
37,1,2,29767658.00,31500864.00
37,1,3,29837946.00,31500864.00
37,1,4,29986126.00,31500864.00
37,1,5,30922388.00,31500864.00
37,1,6,30333914.00,31500864.00
37,1,7,30831842.00,31500864.00
37,1,8,29423944.00,31500864.00
37,1,9,29989044.00,31500864.00
37,1,10,30742102.00,31500864.00
38,1,-4,7276.00,31500376.00
38,1,-1,20315960.00,31500376.00
38,1,1,20748392.00,31500376.00
38,1,2,21234720.00,31500376.00
38,1,3,20311956.00,31500376.00
38,1,4,19891974.00,31500376.00
38,1,5,19486294.00,31500376.00
38,1,6,20247038.00,31500376.00
38,1,7,19955784.00,31500376.00
38,1,8,20831278.00,31500376.00
38,1,9,19912114.00,31500376.00
38,1,10,20519736.00,31500376.00
40,1,-4,7.00,693750.00
40,1,-1,0.00,0.00
41,1,-4,10816.00,31500864.00
41,1,-1,31500240.00,31500864.00
41,1,1,31500050.00,31500864.00
41,1,2,31481662.00,31500864.00
41,1,3,31499906.00,31500864.00
41,1,4,31499988.00,31500864.00
41,1,5,31500110.00,31500864.00
41,1,6,31499936.00,31500864.00
41,1,7,31375142.00,31500864.00
41,1,8,31500014.00,31500864.00
41,1,9,31499946.00,31500864.00
41,1,10,31500096.00,31500864.00
43,1,-4,10816.00,31500864.00
43,1,-1,31495884.00,31500864.00
43,1,1,31502108.00,31500864.00
43,1,2,31499678.00,31500864.00
43,1,3,31501578.00,31500864.00
43,1,4,31501050.00,31500864.00
43,1,5,31500680.00,31500864.00
43,1,6,31501760.00,31500864.00
43,1,7,31500588.00,31500864.00
43,1,8,31500158.00,31500864.00
43,1,9,31499594.00,31500864.00
43,1,10,31502126.00,31500864.00
44,1,-4,10816.00,31500864.00
44,1,-1,31498214.00,31500864.00
44,1,1,31500014.00,31500864.00
44,1,2,31500018.00,31500864.00
44,1,3,31499968.00,31500864.00
44,1,4,31499992.00,31500864.00
44,1,5,31500062.00,31500864.00
44,1,6,31499984.00,31500864.00
44,1,7,31499782.00,31500864.00
44,1,8,31500022.00,31500864.00
44,1,9,31500022.00,31500864.00
44,1,10,31500146.00,31500864.00
46,1,-4,3909.00,31499722.00
46,1,-1,10468411.00,31499722.00
46,1,1,10512968.00,31499722.00
46,1,2,10497883.00,31499722.00
46,1,3,10909083.00,31499722.00
46,1,4,10322394.00,31499722.00
46,1,5,10491870.00,31499722.00
46,1,6,10531554.00,31499722.00
46,1,7,10210612.00,31499722.00
46,1,8,10417316.00,31499722.00
46,1,9,11109257.00,31499722.00
46,1,10,10280968.00,31499722.00
48,1,-4,10816.00,31500864.00
48,1,-1,30135418.00,31500864.00
48,1,1,30380016.00,31500864.00
48,1,2,29292646.00,31500864.00
48,1,3,30060856.00,31500864.00
48,1,4,29645716.00,31500864.00
48,1,5,30008148.00,31500864.00
48,1,6,29935350.00,31500864.00
48,1,7,30456000.00,31500864.00
48,1,8,30722630.00,31500864.00
48,1,9,30087948.00,31500864.00
48,1,10,30784564.00,31500864.00
51,1,-4,10816.00,31500864.00
51,1,-1,31498674.00,31500864.00
51,1,1,31499946.00,31500864.00
51,1,2,31499938.00,31500864.00
51,1,3,31499940.00,31500864.00
51,1,4,31499826.00,31500864.00
51,1,5,31499970.00,31500864.00
51,1,6,31499934.00,31500864.00
51,1,7,31499942.00,31500864.00
51,1,8,31499976.00,31500864.00
51,1,9,31499956.00,31500864.00
51,1,10,31500042.00,31500864.00
64,1,-4,10816.00,31500864.00
64,1,-1,30135418.00,31500864.00
64,1,1,29385092.00,31500864.00
64,1,2,30150270.00,31500864.00
64,1,3,28909986.00,31500864.00
64,1,4,30259490.00,31500864.00
64,1,5,30496304.00,31500864.00
64,1,6,31206180.00,31500864.00
64,1,7,29603998.00,31500864.00
64,1,8,30222362.00,31500864.00
64,1,9,29582276.00,31500864.00
64,1,10,31366268.00,31500864.00
66,1,-4,10816.00,31500864.00
66,1,-1,31498734.00,31500864.00
66,1,1,31499926.00,31500864.00
66,1,2,31500110.00,31500864.00
66,1,3,31500026.00,31500864.00
66,1,4,31499844.00,31500864.00
66,1,5,31500034.00,31500864.00
66,1,6,31499970.00,31500864.00
66,1,7,31499986.00,31500864.00
66,1,8,31500020.00,31500864.00
66,1,9,31500002.00,31500864.00
66,1,10,31500154.00,31500864.00
70,1,-4,80.00,3553126.75
70,1,-1,35495.57,3553126.75
70,1,1,26254.07,3553126.75
70,1,2,107443.75,3553126.75
70,1,4,29249.40,3553126.75
70,1,5,43279.73,3553126.75
70,1,6,19042.31,3553126.75
70,1,7,19157.03,3553126.75
70,1,8,53140.62,3553126.75
70,1,9,59969.52,3553126.75
70,1,10,16273.82,3553126.75
72,1,-4,10816.00,31500864.00
72,1,-1,31498592.00,31500864.00
72,1,1,31499996.00,31500864.00
72,1,2,31500012.00,31500864.00
72,1,3,31499932.00,31500864.00
72,1,4,31500022.00,31500864.00
72,1,5,31499988.00,31500864.00
72,1,6,31499862.00,31500864.00
72,1,7,31500052.00,31500864.00
72,1,8,31500008.00,31500864.00
72,1,9,31499914.00,31500864.00
72,1,10,31500008.00,31500864.00
74,1,-4,10816.00,31500864.00
74,1,-1,30135418.00,31500864.00
74,1,1,30986034.00,31500864.00
74,1,2,29310786.00,31500864.00
74,1,3,29645874.00,31500864.00
74,1,4,31079524.00,31500864.00
74,1,5,30734860.00,31500864.00
74,1,6,30039284.00,31500864.00
74,1,7,29270102.00,31500864.00
74,1,8,29249954.00,31500864.00
74,1,9,30960538.00,31500864.00
74,1,10,30152352.00,31500864.00
75,1,-4,10816.00,31500864.00
75,1,-1,30135418.00,31500864.00
75,1,1,29816564.00,31500864.00
75,1,2,30331956.00,31500864.00
75,1,3,30103256.00,31500864.00
75,1,4,28791118.00,31500864.00
75,1,5,30458792.00,31500864.00
